,seriesName,network,genre,runtime,firstAired,siteRating,siteRatingCount,rating
0,The Handmaid's Tale,Hulu,['Drama'],60,2017-04-26,9.3,10.0,
1,The Path,Hulu,['Drama'],50,2016-03-30,7.9,11.0,
2,Casual,Hulu,['Comedy'],30,2015-10-07,6.7,6.0,TV-MA
3,Difficult People,Hulu,['Comedy'],25,2015-08-05,9.8,4.0,TV-MA
4,The Mindy Project,Hulu,['Comedy'],25,2012-09-25,7.7,22.0,TV-14
5,The Runaways,FOX (US),['Drama'],30,1978-04-27,0.0,0.0,
6,Shut Eye,Hulu,['Drama'],60,2016-12-07,0.0,0.0,TV-MA
7,Chance!,Fuji TV,"['Comedy', 'Drama', 'Mini-Series']",50,2009-03-07,10.0,1.0,
8,The Hotwives of Orlando,Hulu,['Comedy'],20,2014-07-15,1.0,1.0,
9,Future Man,,[],25,,0.0,0.0,
10,East Los High,Hulu,"['Drama', 'Soap']",25,2013-06-03,7.7,3.0,
11,Dimension 404,Hulu,['Science-Fiction'],60,2017-04-04,6.7,3.0,
12,The Awesomes,Hulu,"['Animation', 'Comedy']",25,2013-08-01,8.0,2.0,
13,Freakish,Hulu,"['Horror', 'Science-Fiction']",20,2016-10-10,0.0,0.0,TV-14
14,Deadbeat,Hulu,['Comedy'],25,2014-04-09,6.4,7.0,
15,Party Down,Starz!,['Comedy'],30,2009-03-20,8.8,33.0,TV-MA
16,Quick Draw,Hulu,"['Comedy', 'Western']",25,2013-08-05,4.3,3.0,
17,Doozers,Hulu,"['Animation', 'Children']",12,2013-12-13,5.0,1.0,TV-Y
18,Up to Speed,Hulu,"['Documentary', 'Reality']",25,2012-08-09,5.0,1.0,
19,Battleground,Hulu,"['Comedy', 'Documentary']",25,2012-02-14,8.0,1.0,
20,Resident Advisors,Hulu,['Comedy'],20,2015-04-09,7.0,1.0,
21,Confession,,['Documentary'],65,1998-11-06,0.0,0.0,
22,Mother Up!,Hulu,['Animation'],25,2013-11-06,10.0,1.0,TV-14
23,Before The Morning After,Seeso,['Comedy'],15,2016-01-07,0.0,0.0,
24,Spoilers,Hulu,"['Documentary', 'Talk Show']",30,2012-06-04,8.0,1.0,
25,Crow's Blood,Hulu,"['Drama', 'Horror', 'Suspense']",40,2016-07-23,0.0,0.0,
26,One Life to Live,ABC (US),['Soap'],60,1968-07-01,10.0,1.0,
27,Raising the Bar,TVB,['Drama'],45,2015-01-26,0.0,0.0,
28,Marvel's Luke Cage,Netflix,"['Action', 'Crime', 'Drama']",60,2016-09-30,8.1,33.0,TV-MA
29,Marvel's Daredevil,Netflix,"['Action', 'Adventure', 'Crime', 'Drama']",55,2015-04-10,8.8,533.0,TV-MA
30,Orange Is the New Black,Netflix,"['Comedy', 'Crime', 'Drama']",60,2013-07-11,8.6,141.0,TV-MA
31,Stranger Things,Netflix,"['Drama', 'Fantasy', 'Horror', 'Suspense']",50,2016-07-15,9.3,76.0,TV-14
